Date,Close,High,Low,Open,Volume
2010-01-04,20.881763458251953,21.13628160434543,20.683806098831138,20.700773256046237,2827000
2010-01-05,20.649864196777344,20.887415123189772,20.5141226596041,20.842166505750136,2136200
2010-01-06,20.570682525634766,20.83085777659966,20.514123907966248,20.587651836993693,2379400
2010-01-07,20.683805465698242,20.72339693637051,20.208705660057724,20.480190955056116,2311900
2010-01-08,20.994882583618164,21.028819055152344,20.553719241540666,20.627247184411374,2379600
2010-01-11,20.904388427734375,21.15890658180043,20.55937516973077,21.057099320174007,1961400
2010-01-12,20.174772262573242,20.79127088812618,19.96550272034295,20.75733656956507,3002200
2010-01-13,20.41231346130371,20.514120683161398,19.767535827920128,20.299194086175994,3969500
2010-01-14,19.79582405090332,20.333139706656844,19.688361782782053,20.208708122199045,5867400
2010-01-15,18.85694122314453,19.931572804830424,18.817349737694705,19.75623754242824,6721000
2010-01-19,19.026607513427734,19.10013543685915,18.777746594024297,18.936112437501684,4374500
2010-01-20,18.79471778869629,18.85693357132109,18.449704563284776,18.83430925808057,4605900
2010-01-21,18.579795837402344,19.173672343840494,18.528892198495466,18.862593351868583,3852400
2010-01-22,17.454259872436523,18.313964424325945,17.375075848718605,18.229124321857697,7991300
2010-01-25,17.510814666748047,17.759676683317593,17.409008507902147,17.414664585413554,4021300
2010-01-26,17.346803665161133,17.714440304777234,17.34114758408554,17.375082991751924,3843400
2010-01-27,17.4486083984375,17.64656689179419,17.058347491967115,17.284585307751758,4557400
2010-01-28,16.61717987060547,17.522132045261216,16.362662779437375,17.476884490467768,8674800
2010-01-29,15.949776649475098,16.82644831504691,15.723537825907323,16.81513615811119,10519600
2010-02-01,16.50971794128418,16.51537402059787,16.00633767023366,16.091177781152243,6982600
2010-02-02,16.458812713623047,16.62283468270141,16.226918878134747,16.481435949901876,5245700
2010-02-03,16.5662784576416,16.634149255118043,16.243888393874432,16.37397606681355,6157800
2010-02-04,16.01198959350586,16.651112365835075,15.904527350798842,16.5379929664959,5891200
2010-02-05,16.283475875854492,16.37962596251418,15.87059082494626,16.10248462182483,5902100
2010-02-08,16.243886947631836,16.57758806207674,16.006337020040323,16.283479501219404,3299800
2010-02-09,16.49839973449707,16.707670277239817,16.266505961579835,16.464464349842125,3539900
2010-02-10,16.396595001220703,16.68504851172526,16.2325730513965,16.487090093286458,2348300
2010-02-11,16.760465621948242,16.857116927195758,16.277209095710674,16.442085298237945,4173400
2010-02-12,16.86848258972168,17.12432451811691,16.35111432065365,16.544416870019464,4493200
2010-02-16,17.522302627563477,17.527988125245095,16.93102496584651,17.124327549430355,4337300
2010-02-17,17.300575256347656,17.601899070841288,17.08453066185247,17.56778716596233,3327900
2010-02-18,17.19822883605957,17.20959982612389,16.868477714975477,17.20959982612389,3180000
2010-02-19,17.385854721069336,17.471135021346953,17.11295732642182,17.31194541666816,3698900
2010-02-22,17.24372100830078,17.522303908681494,17.158440705636952,17.50524849878746,2849300
2010-02-23,16.425018310546875,17.141374394586556,16.373849941372807,17.067465130444717,5228200
2010-02-24,16.53872299194336,16.771822815508834,16.430700778652973,16.5500939795312,5315800
2010-02-25,16.430706024169922,16.447762510996984,15.907652356511482,16.197606126187104,4440400
2010-02-26,16.56147575378418,16.567161251653395,16.169186160388787,16.44208355172415,3311700
2010-03-01,17.135696411132812,17.147067405799774,16.697923960432096,16.709293870701323,3653200
2010-03-02,17.20391273498535,17.454069071205378,17.164115357849777,17.328990360896768,3016700
2010-03-03,17.186864852905273,17.46544771667264,17.101584561449588,17.255089736708463,2371900
2010-03-04,17.073152542114258,17.306252434790032,16.840052649438483,17.158432805513158,2037500
2010-03-05,17.22098159790039,17.414283128029503,17.033363397567058,17.16981319497275,2578700
2010-03-08,17.130006790161133,17.328994811340447,17.118636882628937,17.272140936089574,2001000
