Date,Close,High,Low,Open,Volume
2012-05-10,19200000000.0,19200000000.0,19200000000.0,19200000000.0,0
2012-05-11,19200000000.0,19200000000.0,19200000000.0,19200000000.0,0
2012-05-14,19200000000.0,19200000000.0,19200000000.0,19200000000.0,0
2012-05-15,19200000000.0,19200000000.0,19200000000.0,19200000000.0,0
2012-05-16,16896000000.0,16896000000.0,16896000000.0,16896000000.0,0
2012-05-17,12928000000.0,13952000000.0,12544000000.0,12544000000.0,0
2012-05-18,12928000000.0,12928000000.0,12928000000.0,12928000000.0,0
2012-05-21,12928000000.0,12928000000.0,12928000000.0,12928000000.0,0
2012-05-22,12928000000.0,12928000000.0,12928000000.0,12928000000.0,0
2012-05-23,12800000000.0,13440000000.0,12800000000.0,12800000000.0,0
2012-05-24,12800000000.0,12800000000.0,12800000000.0,12800000000.0,0
2012-05-25,12160000000.0,12160000000.0,10880000000.0,10880000000.0,0
2012-05-29,12160000000.0,12160000000.0,12160000000.0,12160000000.0,0
2012-05-30,12160000000.0,12160000000.0,12160000000.0,12160000000.0,0
2012-05-31,12160000000.0,12160000000.0,12160000000.0,12160000000.0,0
2012-06-01,10752000000.0,10752000000.0,10752000000.0,10752000000.0,0
2012-06-04,10752000000.0,10752000000.0,10752000000.0,10752000000.0,0
2012-06-05,10752000000.0,10752000000.0,10752000000.0,10752000000.0,0
2012-06-06,10880000000.0,10880000000.0,10880000000.0,10880000000.0,0
2012-06-07,12800000000.0,12800000000.0,12800000000.0,12800000000.0,0
2012-06-08,12160000000.0,13440000000.0,12160000000.0,13440000000.0,0
2012-06-11,12800000000.0,12800000000.0,12800000000.0,12800000000.0,0
2012-06-12,12800000000.0,12800000000.0,12800000000.0,12800000000.0,0
2012-06-13,12800000000.0,12800000000.0,12800000000.0,12800000000.0,0
2012-06-14,12800000000.0,12800000000.0,12800000000.0,12800000000.0,0
2012-06-15,12160000000.0,12160000000.0,12160000000.0,12160000000.0,0
2012-06-18,12160000000.0,12160000000.0,12160000000.0,12160000000.0,0
2012-06-19,12160000000.0,12160000000.0,12160000000.0,12160000000.0,0
2012-06-20,10624000000.0,10624000000.0,10624000000.0,10624000000.0,0
2012-06-21,10624000000.0,10624000000.0,10624000000.0,10624000000.0,0
2012-06-22,10624000000.0,10624000000.0,10624000000.0,10624000000.0,0
2012-06-25,13056000000.0,13056000000.0,12800000000.0,12800000000.0,0
2012-06-26,12800000000.0,12800000000.0,12800000000.0,12800000000.0,0
2012-06-27,12800000000.0,12800000000.0,12800000000.0,12800000000.0,0
2012-06-28,12800000000.0,12800000000.0,12800000000.0,12800000000.0,0
2012-06-29,12800000000.0,12800000000.0,12800000000.0,12800000000.0,0
2012-07-02,12672000000.0,12672000000.0,12672000000.0,12672000000.0,0
2012-07-03,12672000000.0,12672000000.0,12672000000.0,12672000000.0,0
2012-07-05,12672000000.0,12672000000.0,12672000000.0,12672000000.0,0
2012-07-06,12672000000.0,12672000000.0,12672000000.0,12672000000.0,0
2012-07-09,12800000000.0,12800000000.0,12800000000.0,12800000000.0,0
2012-07-10,12672000000.0,12800000000.0,12672000000.0,12800000000.0,0
2012-07-11,12672000000.0,12672000000.0,12672000000.0,12672000000.0,0
2012-07-12,12672000000.0,12672000000.0,12672000000.0,12672000000.0,0
2012-07-13,12544000000.0,12544000000.0,12544000000.0,12544000000.0,0
2012-07-16,12544000000.0,12800000000.0,12544000000.0,12544000000.0,0
2012-07-17,12288000000.0,12800000000.0,12160000000.0,12288000000.0,0
2012-07-18,11520000000.0,11520000000.0,11392000000.0,11520000000.0,0
2012-07-19,11520000000.0,11520000000.0,11520000000.0,11520000000.0,0
2012-07-20,11520000000.0,11520000000.0,11520000000.0,11520000000.0,0
2012-07-23,10880000000.0,10880000000.0,10624000000.0,10624000000.0,0
2012-07-24,12032000000.0,12288000000.0,11520000000.0,11520000000.0,0
2012-07-25,11520000000.0,11520000000.0,11520000000.0,11520000000.0,0
2012-07-26,11648000000.0,11648000000.0,11648000000.0,11648000000.0,0
2012-07-27,11648000000.0,11648000000.0,11648000000.0,11648000000.0,0
2012-07-30,11648000000.0,11648000000.0,11648000000.0,11648000000.0,0
2012-07-31,11648000000.0,11648000000.0,11648000000.0,11648000000.0,0
2012-08-01,11648000000.0,11648000000.0,11648000000.0,11648000000.0,0
2012-08-02,11648000000.0,11648000000.0,11648000000.0,11648000000.0,0
2012-08-03,11648000000.0,11648000000.0,11648000000.0,11648000000.0,0
2012-08-06,11648000000.0,11648000000.0,11648000000.0,11648000000.0,0
2012-08-07,11648000000.0,11648000000.0,11648000000.0,11648000000.0,0
2012-08-08,11648000000.0,11648000000.0,11648000000.0,11648000000.0,0
2012-08-09,11648000000.0,11648000000.0,11648000000.0,11648000000.0,0
2012-08-10,10880000000.0,10880000000.0,10880000000.0,10880000000.0,0
2012-08-13,10880000000.0,10880000000.0,10880000000.0,10880000000.0,0
2012-08-14,11392000000.0,11392000000.0,11392000000.0,11392000000.0,0
2012-08-15,11392000000.0,11392000000.0,11392000000.0,11392000000.0,0
2012-08-16,11392000000.0,11392000000.0,11392000000.0,11392000000.0,0
2012-08-17,11392000000.0,11392000000.0,11392000000.0,11392000000.0,0
2012-08-20,11392000000.0,11648000000.0,11392000000.0,11392000000.0,0
2012-08-21,11392000000.0,11392000000.0,11392000000.0,11392000000.0,0
2012-08-22,11392000000.0,11392000000.0,11392000000.0,11392000000.0,0
2012-08-23,10880000000.0,10880000000.0,10624000000.0,10624000000.0,0
2012-08-24,10880000000.0,10880000000.0,10880000000.0,10880000000.0,0
2012-08-27,10880000000.0,10880000000.0,10880000000.0,10880000000.0,0
2012-08-28,10240000000.0,10240000000.0,10240000000.0,10240000000.0,0
